1053_at,1554572_a_at,1554696_s_at,1556206_at,1558447_at,1558448_a_at,1562755_at,1569609_at,200795_at,202240_at,202613_at,202705_at,202779_s_at,202870_s_at,202954_at,203214_x_at,203358_s_at,203362_s_at,203418_at,203696_s_at,204092_s_at,204162_at,204508_s_at,204768_s_at,204825_at,204962_s_at,205225_at,205891_at,206209_s_at,207828_s_at,209408_at,209464_at,210052_s_at,211519_s_at,211565_at,214710_s_at,215304_at,215397_x_at,216092_s_at,216836_s_at,217383_at,218009_s_at,218039_at,218211_s_at,218355_at,218542_at,218755_at,219918_s_at,220054_at,220232_at,220581_at,221677_s_at,222608_s_at,223229_at,223861_at,224447_s_at,224753_at,225191_at,225687_at,227232_at,228241_at,228362_s_at,229150_at,235786_at,237086_at,238062_at,242555_at,243689_s_at,Class
7.64069,7.894,7.40293,1.71013,2.6103,3.20452,2.44978,2.53751,11.1674,3.36896,6.5767,8.84449,9.32013,8.21791,9.81474,9.20324,8.78435,9.87044,6.37252,7.94057,6.37628,7.8618,7.4333,6.66531,10.2256,7.89084,3.63553,1.72268,2.21445,8.79252,6.8848,6.25251,8.35289,5.43856,2.04228,9.50973,3.12612,3.6238,8.12341,13.5759,3.19278,8.76088,10.2364,10.3589,6.16618,7.74507,7.74011,8.56261,3.97123,7.16139,2.26863,7.99585,9.65166,9.22617,2.65156,12.3651,6.66217,7.19496,8.20964,7.3565,1.81502,2.94324,10.156,8.60994,8.76988,2.23607,3.50034,2.52992,Her2
7.84357,7.25506,5.61578,1.71687,2.83182,3.6609,2.4735,2.6002,11.2266,2.50357,6.15374,7.74422,9.62497,7.16526,9.89881,8.96672,8.69272,8.26537,3.88861,8.11158,5.96537,6.78994,3.88776,7.05594,7.56274,7.56528,3.41893,1.58409,2.26834,9.36593,7.75358,5.20848,8.26737,6.1406,2.06084,9.80966,5.60224,3.82894,7.93983,13.9818,3.71242,7.97473,8.68854,10.2365,4.9681,6.39775,8.20265,8.17464,3.88622,6.96166,2.27701,8.59811,9.09281,8.96604,2.63208,12.4004,6.38557,6.47158,7.457,7.34086,1.8375,2.06749,10.2174,8.85241,9.96249,2.23544,2.75736,2.61821,Her2
6.66872,8.30432,8.63362,1.70631,4.43172,5.20527,2.45856,2.54895,10.4052,5.27178,8.40413,9.5199,9.1256,9.85148,10.428,8.00139,9.5125,9.51416,5.85707,7.10707,8.10187,9.89357,1.70567,7.06674,10.081,8.8995,2.53172,2.75066,2.21275,10.5744,7.7562,8.01772,9.57911,5.36283,2.04179,9.07765,2.80604,3.34699,6.34645,9.24717,2.66411,10.739,11.6051,4.06241,7.95407,8.33683,8.43656,9.62748,3.99604,6.3627,2.24822,9.14319,9.81421,9.10106,10.0286,8.6881,8.16963,6.52355,9.7684,6.40163,1.63819,2.4253,3.62631,8.29223,1.75892,2.14085,2.91625,2.53722,Basal
7.73258,6.15266,5.77515,1.71306,6.44337,6.53051,2.46613,2.57811,11.0818,3.36233,5.44819,9.00358,9.11173,7.08889,9.80809,7.19752,9.02245,9.73056,5.56334,8.07852,6.53297,7.31587,9.05247,4.85479,9.52713,7.91699,4.02502,1.60226,2.22924,8.73036,6.18078,5.69618,8.14101,3.63705,2.056,9.62623,6.49533,4.53825,9.50511,15.125,2.93998,8.13376,9.47972,10.2088,6.83936,6.73013,7.34694,8.77313,3.99,7.02036,2.25855,8.02802,9.22706,8.3004,2.58986,14.483,6.42753,9.16375,7.60881,8.0325,4.16507,2.40416,10.5496,9.31214,10.3851,2.24627,4.32169,2.61929,Her2
8.49295,7.69614,7.51687,1.70004,3.58081,3.96934,2.45024,2.56429,11.0713,6.50836,7.39429,10.2248,10.9746,9.66519,10.2419,9.91002,9.86346,11.0863,8.66243,8.688,7.60622,8.85498,5.5043,9.17239,10.455,9.26913,1.9779,3.00786,2.21728,9.76541,8.08027,7.12559,10.0543,5.834,2.03516,10.9689,4.45705,3.28807,8.0099,8.54648,4.37324,10.8733,11.2677,8.61569,7.88493,8.00403,9.65471,9.15796,3.9229,6.21459,2.2471,9.54447,9.69796,9.36049,2.55062,9.58249,8.19145,6.99081,9.84886,7.9372,1.67929,2.17211,7.70378,8.35769,6.04353,2.21999,2.69839,2.54065,Basal
8.04391,9.02192,8.74814,1.71407,1.91925,3.32656,2.43652,2.56294,9.28526,5.60769,8.67965,10.0855,10.4256,10.5821,9.29604,9.41145,9.24809,11.2657,7.94562,8.35992,8.08698,10.4693,1.92057,7.33587,10.394,8.77342,2.81981,2.08474,2.19711,10.1394,8.38535,6.90502,10.8931,6.79194,2.04975,10.4619,3.42135,3.66029,5.92274,9.60052,2.83839,10.5826,10.1603,5.32832,7.84085,8.34313,8.75625,10.3741,3.93696,6.77788,2.25958,8.45564,8.88955,9.16058,9.69162,8.59631,7.51686,6.87175,8.38087,8.03796,1.64415,4.24494,5.45825,7.73421,1.46804,2.24002,4.8635,2.53125,Basal
9.21119,8.58413,9.78157,1.70898,3.30088,4.16126,2.46032,2.5719,10.0588,5.86932,8.62251,10.1043,9.90119,10.7994,10.406,9.46414,9.04926,10.9612,7.28332,9.17432,8.78694,10.6605,6.47928,7.46548,10.1454,9.85636,6.83549,3.71102,2.21492,10.6912,8.92729,7.6222,9.73939,7.76249,2.04656,9.44544,3.45558,3.38379,5.12061,9.6492,2.39411,11.1588,9.88038,5.19755,7.27133,8.6433,9.3373,10.5785,3.95107,6.77559,2.25439,9.65111,9.92575,8.23519,10.478,8.71858,7.62682,6.72977,10.5998,6.20238,1.8626,2.17329,4.90888,7.67061,1.45012,2.23558,2.71772,2.56451,Basal
7.94075,9.48898,8.22117,1.71313,1.40693,2.64333,2.47007,2.59235,9.34279,6.43678,9.08893,10.1839,9.83921,11.4085,12.1815,8.37408,9.16826,10.211,7.02415,8.12488,9.21498,10.101,1.90796,6.00315,11.9533,10.2551,6.40273,2.4721,2.23257,11.009,9.81285,8.79402,11.0019,8.63474,2.06331,10.5291,2.83429,3.5087,6.38054,9.46155,2.39723,10.1225,10.8143,1.85045,8.53471,9.08515,9.7176,10.3783,3.94394,6.83084,2.2661,9.12826,10.1639,8.449,11.0062,8.79544,8.86782,6.65351,10.1939,6.49698,1.67541,3.6197,3.21073,8.16691,1.48984,2.24746,2.72773,2.64781,Basal
8.60913,8.07479,9.82161,1.70742,2.73987,4.1654,2.49309,2.57409,10.195,6.55021,9.39977,11.1919,11.1171,11.4512,10.9315,8.26071,9.94556,10.3469,6.6357,8.85571,7.76694,11.1733,2.38593,7.84203,9.91608,9.11587,1.85547,2.38888,2.22566,11.1118,9.89778,7.74976,10.0579,8.43381,2.05591,10.2281,2.98504,3.50351,6.0942,8.65565,2.67011,11.0817,11.014,6.79732,9.22349,8.36715,9.75329,9.65413,5.16299,7.24241,2.25377,9.73689,9.68114,8.38968,10.458,9.20794,9.23817,6.51253,9.39378,7.07491,1.71824,2.44418,6.02721,7.84772,1.82864,2.22419,2.91042,3.06763,Basal
9.05156,10.0741,8.38923,1.71487,2.29155,4.30637,2.51605,2.58419,9.44186,3.11193,8.56886,9.78179,10.2531,11.4833,11.1795,10.3686,10.5347,10.3871,7.41448,9.13084,9.24677,9.88244,2.3379,8.0769,10.0825,9.77442,1.88241,1.88437,2.2481,10.7094,9.60976,7.40336,9.81067,8.79452,2.07259,10.8989,5.16709,3.70581,5.348,9.25601,2.49395,10.5781,10.1719,2.2495,8.19216,8.57769,10.2812,10.3158,3.18851,6.77981,2.28038,8.82289,10.7256,9.86371,10.2665,9.18008,9.02657,7.52699,10.2945,6.42476,2.77187,2.52014,3.27706,7.16491,2.60826,2.25655,4.08345,2.64696,Basal
