CCT3,TOP2A,RRM2,PTTG1,LCAT,VIPR1,ESR1,FCN3,CYP2B6,NAT2,APOF,CYP1A2,FCN2,FOS,GPC3,ECM1,MT1F,CCNB1,CXCL14,PRC1,ASPM,STAB2,HAMP,Class
8.22,3.643,3.788,4.843,8.613,7.176,7.664,9.734,9.048,8.965,9.449,11.167,7.298,9.39,5.037,7.601,11.178,3.543,5.447,3.776,3.162,6.378,11.342,Normal
8.053,3.49,4.078,4.841,8.506,6.75,7.228,8.725,7.919,9.353,9.242,11.885,5.948,10.647,5.201,7.693,11.666,3.313,6.296,4.006,3.875,5.351,12.867,Normal
8.133,3.804,4.447,4.413,8.979,7.782,7.721,9.282,9.023,9.97,9.65,12.363,5.847,9.744,4.024,7.99,11.783,3.231,7.373,3.789,3.495,6.826,12.335,Normal
8.161,3.859,4.718,5.227,9.075,7.977,8.323,7.461,8.858,9.836,9.435,12.836,4.539,10.096,4.297,8.259,11.673,3.063,7.235,3.664,3.54,5.202,5.125,Normal
7.927,4.162,4.704,5.069,8.694,6.59,7.489,9.441,8.198,10.077,9.069,12.272,6.668,10.308,4.105,7.832,10.951,3.188,5.839,3.642,4.28,5.08,12.475,Normal
8.16,5.289,4.792,6.505,8.737,6.985,5.834,6.634,7.965,9.438,8.07,11.733,4.261,9.672,8.692,6.698,12.143,3.375,5.182,4.873,4.278,5.607,11.982,Normal
8.22,3.795,5.459,4.641,8.329,7.681,7.669,9.869,8.178,9.315,9.071,11.507,6.88,9.924,5.936,7.984,10.179,3.468,7.803,4.076,4.111,5.927,12.23,Normal
8.223,3.78,3.526,4.442,8.891,7.031,7.52,9.689,9.518,9.942,9.525,12.044,6.982,8.342,3.939,7.741,11.701,3.273,6.807,3.838,3.648,6.901,11.799,Normal
7.771,3.425,4.174,5.107,8.768,8.482,6.934,10.495,9.334,9.808,9.571,12.134,8.462,10.918,5.146,8.658,11.951,3.45,8.105,4.031,3.099,7.735,12.399,Normal
8.259,3.823,4.236,5.762,8.656,6.25,7.189,10.712,8.682,9.358,10.575,11.13,7.98,10.487,4.295,8.021,12.223,3.597,6.109,3.677,3.622,6.858,12.22,Normal
8.479,3.92,4.917,5.403,7.513,6.338,6.616,8.467,7.829,8.196,8.34,10.478,4.81,9.395,8.174,7.088,7.637,3.692,7.3,3.805,4.025,5.345,12.282,Normal
9.463,4.25,7.643,7.866,6.381,5.236,5.34,7.127,5.569,6.599,7.191,8.851,4.019,9.188,9.9,6.929,8.626,5.444,3.832,6.408,6.016,4.879,9.647,Cancer
10.212,8.667,8.043,8.906,4.794,3.773,3.956,5.54,3.557,4.259,3.83,4.027,3.345,5.785,11.58,5.341,5.145,6.892,3.333,7.598,7.907,3.524,4.791,Cancer
9.434,8.143,8.682,9.947,5.063,3.322,4.834,5.468,4.166,4.041,4.255,3.923,3.282,5.369,10.591,5.021,4.195,7.145,3.125,7.259,8.016,3.866,5.099,Cancer
9.834,7.374,8.873,9.11,4.825,3.65,4.052,5.528,7.096,3.515,4.264,4.691,3.573,5.619,11.823,5.199,9.373,7.445,3.181,6.79,7.775,3.964,7.197,Cancer
9.811,7.967,9.742,8.715,5.231,3.659,3.943,5.169,2.986,3.468,5.098,5.601,3.139,6.005,11.273,4.865,9.548,6.429,3.063,6.119,7.055,3.862,5.607,Cancer
10.071,6.476,7.632,7.376,4.761,4.209,3.793,6.233,4.119,4.914,8.184,4.745,3.173,9.114,11.676,4.838,4.854,5.079,3.359,5.421,6.799,3.765,5.282,Cancer
8.901,4.035,4.985,5.94,7.462,4.988,4.841,8.444,7.344,6.127,7.164,6.313,3.831,6.017,8.813,6.729,9.62,3.798,3.553,4.068,4.373,5.058,10.008,Cancer
9.529,8.202,8.176,8.366,4.745,3.822,3.527,5.521,5.641,3.997,5.443,4.179,3.622,6.024,4.726,4.824,10.124,5.08,2.914,7.047,7.077,3.764,5.802,Cancer
9.214,7.963,9.392,8.983,3.772,3.74,3.465,5.866,5.912,3.754,5.539,4.388,3.238,6.466,11.835,4.722,9.713,7.963,3.151,8.045,7.703,3.857,7.452,Cancer
9.39,7.414,9.363,8.792,4.058,3.702,3.913,5.178,5.859,5.207,5.593,4.089,2.875,6.904,9.525,4.361,4.905,6.205,2.635,7.458,7.253,3.595,5.668,Cancer
9.515,6.676,5.662,7.992,5.462,5.048,5.103,6.17,7.117,8.255,6.522,9.374,3.529,4.498,10.006,4.766,6.657,6.63,2.893,5.826,7.61,4.036,6.073,Cancer
6.994,3.88,5.727,4.897,8.524,6.15,7.708,9.281,8.412,9.896,9.245,11.983,5.185,10.065,4.165,7.418,11.848,3.589,4.749,4.121,3.927,5.488,11.779,Normal
8.195,4.448,5.872,5.522,5.586,4.829,5.336,5.804,4.856,5.518,6.235,7.364,4.492,11.531,5.581,6.947,10.145,3.959,6.696,4.702,3.672,4.096,10.208,Normal
7.718,3.825,4.031,4.219,8.781,5.988,6.88,10.064,8.574,8.763,9.652,12.033,6.878,10.296,3.962,7.542,11.867,3.244,7.528,3.738,3.24,6.28,12.674,Normal
8.263,3.532,4.401,5.022,8.041,8.192,7.428,9.723,6.989,7.505,7.856,11.814,8.081,10.998,6.083,8.193,11.416,3.464,6.856,3.98,3.046,6.483,12.729,Normal
8.074,3.819,4.409,4.834,8.297,6.947,7.583,9.384,7.521,9.368,9.168,11.899,5.004,9.458,4.812,7.804,11.487,3.643,6.412,3.735,3.999,5.358,12.227,Normal
6.342,5.077,5.434,4.58,5.699,4.246,7.49,5.994,7.587,5.507,5.685,13.071,5.87,5.2,4.515,6.213,10.616,3.73,3.379,3.611,4.196,4.806,6.752,Normal
7.523,3.525,4.772,5.274,8.649,6.936,7.414,9.909,8.669,8.638,8.558,11.575,7.188,8.675,5.519,7.565,11.243,3.739,7.212,3.3,3.413,6.053,12.517,Normal
8.001,3.673,4.3,4.97,9.043,6.055,8.128,7.948,9.41,9.382,9.444,12.51,5.771,8.889,3.794,7.085,11.929,3.324,5.897,3.449,3.73,5.02,12.682,Normal
10.013,6.762,8.102,8.074,4.024,3.297,4.478,5.199,4.586,3.956,6.133,4.496,3.237,4.769,11.413,4.494,7.784,7.52,2.881,7.99,8.262,3.334,4.634,Cancer
9.07,7.901,7.718,7.811,5.915,4.05,6.677,6.905,5.135,7.141,5.033,10.699,3.403,9.254,13.19,5.209,5.988,6.847,3.705,6.999,8.039,4.144,8.104,Cancer
10.526,7.825,5.411,7.933,5.411,3.856,3.664,5.281,4.529,4.337,5.028,4.065,3.832,4.629,11.973,6.315,5.287,6.594,3.33,5.601,5.58,3.067,5.085,Cancer
8.435,4.383,8.924,8.526,4.176,3.79,5.71,5.349,4.455,4.399,5.146,3.942,4.178,5.589,10.3,5.003,6.698,6.603,3.269,6.68,7.466,3.965,4.627,Cancer
10.097,8.819,8.707,9.935,4.133,3.693,4.355,5.532,3.255,4.401,4.227,4.721,3.665,6.468,6.583,4.604,5.72,7.434,3.178,7.707,8.475,3.821,4.531,Cancer
9.094,8.406,8.448,8.224,5.594,4.589,5.427,5.436,5.646,5.036,5.808,7.477,3.357,6.926,10.791,5.101,7.237,6.683,3.53,7.2,7.408,4.314,9.565,Cancer
8.389,3.439,3.491,5.936,3.758,4.242,6.51,7.689,3.196,3.966,3.82,4.711,3.36,11.03,4.107,4.715,4.893,4.155,2.717,3.859,3.163,3.985,3.91,Cancer
9.586,4.404,4.987,5.849,4.894,4.513,4.726,5.694,6.846,4.041,4.024,5.134,3.727,9.449,11.025,5.915,4.949,3.691,3.728,4.776,3.1,4.129,4.415,Cancer
