'ATP1B1','CDCA4','CLIC4','CNDP2','CRYZ','GATA3','GLRX','HOMER2','HSD17B11','IGFBP3','MTA1','PAX8','PROS1','SCYL3','SFN','SGCB','SLC37A4','SPDEF','SPP1','TFAP2A','TNIP1','USP7','XBP1','ZNF395','GAPDH',Class
29.022,6.221,33.169,85.767,8.5738,151,4.5598,10.124,14.319,38.597,11.044,0.089136,2.6695,6.758,26.347,5.3021,10.639,81.174,7.7595,26.911,29.206,41.719,1340,5.2941,823.8,BRCA
143.57,6.1626,86.37,118.9,36.724,205.69,21.483,15.901,11.057,24.969,14.44,2.6206,4.4009,9.5319,30.921,10.801,11.09,52.9,67.372,33.731,39.399,40.039,1043.6,19.106,1095.7,BRCA
46.594,4.2489,75.563,48.502,5.6042,106.34,33.156,6.4616,15.295,58.248,16.241,1.0808,6.254,6.898,3.0317,7.3774,8.5238,58.004,39.846,16.819,52.488,20.955,560.54,10.048,1637,BRCA
141.76,8.0345,88.599,89.365,14.64,106.66,11.214,11.063,15.367,70.913,17.473,0.34887,10.592,8.27,24.601,9.8729,17.68,57.604,330.7,16.772,33.252,30.08,1282.4,20.19,1464.3,BRCA
49.661,4.5607,69.926,101.99,4.7492,129.58,11.671,5.0592,6.6274,23.311,9.2184,1.103,2.5244,3.5989,9.1069,2.9401,8.4855,75.789,28.206,51.521,35.244,32.157,844.08,6.7725,1684.5,BRCA
61.45,5.2808,111.07,105.72,33.191,269.83,10.272,17.448,3.6587,116.33,7.989,0.13551,3.0475,5.0653,22.969,13.838,5.2469,54.397,124.83,35.826,56.155,34.873,2671.2,9.0724,1651.8,BRCA
92.313,4.8715,86.982,60.416,18.887,58.768,11.879,14.107,20.655,59.405,15.283,0.89498,26.578,5.9319,15.947,13.216,7.0242,87.104,50.918,30.483,34.098,28.944,1572.1,17.571,859.16,BRCA
167.44,3.0222,35.624,64.761,13.904,549.88,34.072,27.582,4.7893,9.2896,18.66,2.431,1.4236,11.102,6.2688,4.2987,10.144,42.311,78.016,72.452,47.378,76.685,781.15,23.335,1358.1,BRCA
215.9,12.461,124.42,63.828,19.957,216.75,8.1933,22.325,6.21,40.653,11.568,0.81004,3.6262,6.3934,36.168,7.33,15.079,77.77,80.613,60.146,39.984,69.955,2215.5,3.0386,952.2,BRCA
129.95,4.8939,75.71,50.052,27.059,150.02,29.821,16.772,10.023,36.127,11.852,0.25467,5.2271,7.1555,30.716,11.136,9.7967,87.016,218.04,27.603,51.134,39.197,1477.1,9.788,886.36,BRCA
