IGSF10,GRK5,SPOCK2.1,FABP4,COL11A1,GRK5.3,EFNA4,SH3GL3.1,COL10A1,CA4,CA4.1,CST1,SGCG,GPM6A,GPM6A.1,SPP1.1,TNNC1,AGER,CLIC5,KANK3,SPTBN1.5,AGER.1,COL10A1.1,GOLM1.1,QKI.7,CCBE1,FRMD3,PCAT19,RTKN2,STXBP6.3,CCM2L.1,MASP1.3,CCDC85A.1,NCKAP5,SERTM1,COL11A1.2,Class
4.22009,6.12825,7.07837,5.11173,4.84849,9.16216,7.94438,5.97246,6.52586,6.58032,5.20764,5.04211,5.20814,5.76293,6.29757,11.8883,5.18761,5.7554,5.80027,5.94091,8.18781,6.50796,5.36556,11.0484,6.5025,5.71976,5.43598,6.89849,3.5671,6.68525,6.42079,5.9892,4.54199,4.34387,3.66146,4.817,Cancer
4.23898,6.34086,7.77843,6.82382,11.1373,7.43518,9.16442,5.86883,12.1217,6.38,5.0525,10.4991,5.4195,5.81702,5.78234,12.5656,8.49205,7.97258,10.3001,6.29879,5.98187,7.02358,11.0948,9.87463,6.58746,6.04333,5.57042,7.22595,4.14592,3.63826,6.49082,6.08608,4.62783,3.44865,3.83923,11.7057,Cancer
5.47221,6.81825,8.44282,9.29431,9.07788,8.94538,8.752,6.05476,10.4622,7.16381,7.04111,8.66898,5.20794,5.22519,5.39259,12.9216,6.28345,8.46983,8.11255,6.93213,6.10371,7.10187,9.48876,9.7907,6.2175,6.42349,5.74769,7.23428,4.0466,6.12913,7.07922,5.75961,6.37309,5.11258,3.92113,9.24238,Cancer
4.55238,6.4867,7.18445,8.62376,5.46701,7.49033,8.85406,5.80972,9.45842,7.05226,6.71621,5.15067,5.21658,4.89923,4.75803,13.4289,7.17533,6.84735,8.63194,6.22939,6.1367,5.93869,8.74586,10.1504,6.36558,6.40467,5.40246,6.45133,3.69328,4.0782,6.16335,6.24181,5.56337,3.45082,3.85724,5.47135,Cancer
4.07044,6.34053,7.35131,5.57169,7.52842,8.18073,8.94907,5.52379,8.98007,6.79314,5.1027,8.0869,5.0764,4.98228,4.21456,11.6994,4.97477,6.36709,7.78574,5.867,6.81883,6.37856,7.87968,10.389,6.4209,6.22224,5.94553,6.28938,4.08658,8.38149,6.52876,6.31043,4.14165,5.18855,3.96195,7.79753,Cancer
4.56978,5.98074,8.41604,5.94042,9.23362,6.71889,7.97531,5.74853,10.7601,6.85154,5.32829,10.0737,5.05676,4.67855,5.0435,13.8646,6.17667,6.73268,6.23369,5.68329,5.39782,6.04529,9.64139,10.2089,6.88473,6.49862,5.76766,6.37659,3.6165,4.16326,5.57267,5.8108,4.11942,3.45971,3.91236,9.69108,Cancer
7.06889,6.19757,8.2381,9.35172,6.79736,8.35137,8.98291,6.81227,10.5533,6.45999,5.40678,6.30514,5.90571,6.51357,6.52997,14.242,7.58217,6.4793,8.14253,7.12959,6.24413,6.12489,9.70597,9.74551,7.14026,7.00199,6.27775,7.51737,3.63975,4.95534,7.34694,6.29546,5.5517,3.79552,3.62922,6.96408,Cancer
5.53039,5.91171,7.66122,8.25114,11.5772,7.81923,9.31461,5.83487,12.4311,6.76727,6.47268,7.71846,5.26567,5.11728,5.1636,13.0223,7.36323,8.06462,8.89599,6.38687,5.45498,7.07854,11.3375,10.8425,6.90012,6.28472,5.28968,7.30925,4.90346,5.19197,6.6939,5.86341,5.37192,4.16227,4.06745,12.0876,Cancer
4.19476,6.82255,8.13003,6.65208,9.55103,7.23444,7.80701,5.79417,10.6654,7.35557,5.30097,8.35289,5.75249,4.12278,3.95105,13.5537,5.38193,6.29911,5.35604,6.60353,6.02003,5.90428,8.98927,9.59347,6.85258,7.71233,5.80289,6.53012,3.66769,3.90959,6.28223,6.09448,4.44096,3.42345,3.77684,9.95339,Cancer
4.43107,6.28167,6.6906,4.30914,6.68072,6.80692,9.28556,5.90283,9.03186,7.33311,4.85885,5.33866,5.70374,4.07726,4.07227,12.2521,5.04322,6.67424,4.35954,5.96003,6.34542,6.22754,6.60609,9.88511,6.76479,7.51462,5.21061,6.81213,3.74605,3.82887,5.81612,5.95238,4.44174,3.53707,3.80792,7.01915,Cancer
6.23146,5.72922,8.89876,9.08101,4.775,8.07418,7.58368,6.21254,8.78145,7.01671,6.53637,6.34245,5.24755,6.30503,6.57876,13.1976,7.52181,9.31514,9.7614,6.35114,6.8068,7.30986,7.99348,10.2172,7.24298,7.4712,6.37154,7.27243,3.90712,6.44863,6.96835,6.33506,5.33838,3.65004,4.10822,4.13257,Cancer
5.07975,5.83663,7.95681,7.3959,7.26989,7.86614,8.94004,5.88548,10.387,7.11166,6.25032,7.94626,4.82075,4.92525,4.82667,13.1409,7.01411,6.85067,7.50075,6.03805,5.95001,6.48584,9.68292,9.84878,6.57746,6.54687,5.51222,6.97757,3.6922,4.83791,6.90181,5.90156,5.14947,3.67723,4.20097,7.83939,Cancer
